USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
153538253124673,30,1,52.06,3,4,4,344
153539495123141,30,5,520.8,3,1,1,311
153539576138746,30,1,169.0,3,4,3,343
153543066210295,29,1,117.73,3,4,4,344
153543194871978,29,1,159.0,3,4,3,343
153546283098873,26,3,376.0,3,2,1,321
153549219608464,29,4,501.6,3,1,1,311
153555248206994,13,3,461.62,2,2,1,221
153555941643191,28,2,318.0,3,3,2,332
153567230859677,27,1,119.0,3,4,4,344
153572137153231,26,1,108.21,3,4,4,344
153574680373492,20,4,391.06000000000006,2,1,1,211
153576965553581,25,1,121.54,2,4,4,244
153577807718474,25,1,137.78,2,4,3,243
153583967371799,25,3,155.95999999999998,2,2,3,223
153584376313247,24,1,195.5,2,4,2,242
153584659446259,24,2,106.0,2,3,4,234
153586274621474,24,2,155.16,2,3,3,233
153590532001431,24,2,228.0,2,3,2,232
153590924258269,24,1,111.0,2,4,4,244
153591675546542,23,2,140.7,2,3,3,233
153593418781481,23,2,140.0,2,3,3,233
153593606563378,23,2,120.32,2,3,4,234
153594984587887,23,10,1027.0,2,1,1,211
153600110320573,23,1,93.63,2,4,4,244
153600140281754,2,4,287.0,1,1,2,112
153600694938324,23,1,68.19,2,4,4,244
153601255492035,23,1,68.0,2,4,4,244
153604322689468,22,7,1100.46,2,1,1,211
153608844069561,22,1,164.0,2,4,3,243
153609285571017,21,1,169.0,2,4,3,243
153609802673036,22,3,98.0,2,2,4,224
153619330068195,12,2,298.64,1,3,2,132
153624791336816,19,2,123.28,2,3,4,234
153624933078067,12,8,338.48,1,1,1,111
153627135457425,20,3,550.5999999999999,2,2,1,221
153633014088913,17,1,66.0,2,4,4,244
153633884533222,5,5,339.4,1,1,1,111
153635959007233,19,1,139.0,2,4,3,243
153636709874015,18,4,576.0,2,1,1,211
153638366990485,18,1,170.53,2,4,3,243
153643010138586,4,2,137.86,1,3,3,133
153644682594271,18,1,194.44,2,4,2,242
153651363372642,17,2,196.0,2,3,2,232
153652209286565,17,1,140.93,2,4,3,243
153654284645941,16,1,149.08,2,4,3,243
153662221906330,15,1,105.13,2,4,4,244
153663065855258,15,3,507.15999999999997,2,2,1,221
153663085897318,15,1,167.28,2,4,3,243
153664273697250,15,21,3311.2200000000007,2,1,1,211
153664282645148,15,1,62.47,2,4,4,244
153668706536525,15,2,140.6,2,3,3,233
153669449030949,3,3,234.0,1,2,2,122
153671861214250,4,1,39.12,1,4,4,144
153673651763540,13,6,534.0,2,1,1,211
153675950881276,14,1,151.86,2,4,3,243
153676572862785,14,1,159.8,2,4,3,243
153677988587599,13,2,140.4,2,3,3,233
153678516137328,14,1,184.0,2,4,2,242
153684647722191,13,1,129.0,2,4,3,243
153685323838863,13,3,386.53,2,2,1,221
153720343542595,9,1,169.0,1,4,3,143
153721220083479,9,1,159.32,1,4,3,143
153724003744699,8,1,129.0,1,4,3,143
153731799837513,7,1,144.0,1,4,3,143
153733321214461,7,1,59.4,1,4,4,144
153736192773722,7,3,497.25,1,2,1,121
153737889381487,7,1,134.51,1,4,3,143
153745143253323,6,1,129.0,1,4,3,143
153746127179249,6,1,197.91,1,4,2,142
153746928849398,6,1,177.43,1,4,3,143
153747216888177,6,1,66.0,1,4,4,144
153747801271386,6,1,84.0,1,4,4,144
153753555258729,5,1,202.42,1,4,2,142
153756023221049,5,3,529.0,1,2,1,121
153756898681712,5,1,59.63,1,4,4,144
153758758027090,2,3,171.0,1,2,3,123
153759645041764,4,2,177.0,1,3,3,133
153761862620351,2,1,86.9,1,4,4,144
153763440414981,2,2,198.0,1,3,2,132
153766072848786,4,1,56.0,1,4,4,144
153771314982462,3,2,142.0,1,3,3,133
153772485295067,3,1,97.71,1,4,4,144
153773881038381,3,1,206.48,1,4,2,142
153776382139489,2,6,547.0,1,1,1,111
153780581892183,2,3,74.0,1,2,4,124
153783728309899,1,1,110.0,1,4,4,144
153784100610292,1,9,1282.75,1,1,1,111
153784113325326,1,1,98.0,1,4,4,144
153789959533667,1,1,169.0,1,4,3,143
1532464099644910,61,2,156.62,4,3,3,433
1532468733997460,63,1,129.0,4,4,3,443
1532468994177940,64,6,224.0,4,1,2,412
1532470549027630,24,1,234.92,2,4,2,242
1532471422089310,63,1,105.0,4,4,4,444
1532471693050610,30,2,223.0,3,3,2,332
1532473520464650,57,3,116.0,4,2,4,424
1532474642057420,24,2,120.0,2,3,4,234
1532476690089800,11,11,1191.0,1,1,1,111
1532478048205900,60,1,147.9,4,4,3,443
1532478120394950,48,12,2111.5600000000004,4,1,1,411
1532478486872430,63,2,358.0,4,3,1,431
1532479449082120,63,1,184.0,4,4,2,442
1532479536367290,63,1,139.0,4,4,3,443
1532480210875570,60,3,151.0,4,2,3,423
1532480910830580,61,7,991.2399999999998,4,1,1,411
1532481695124490,58,6,610.28,4,1,1,411
1532481927705440,51,1,149.0,4,4,3,443
1532482350262580,63,2,158.0,4,3,3,433
1532482678017800,47,3,247.0,4,2,2,422
1532483882580140,63,1,184.0,4,4,2,442
1532483951736630,62,2,131.0,4,3,3,433
1532483968127440,63,1,114.07,4,4,4,444
1532484602041770,21,3,276.18,2,2,2,222
1532484797901160,24,7,562.0,2,1,1,211
1532487706694990,63,1,129.0,4,4,3,443
1532487788197430,12,2,96.0,1,3,4,134
1532488155102280,63,1,158.24,4,4,3,443
1532489209513840,12,1,112.0,1,4,4,144
1532489901046780,63,1,139.0,4,4,3,443
1532490960278160,63,1,133.0,4,4,3,443
1532490978750310,63,5,515.0,4,1,1,411
1532492604028830,63,1,119.0,4,4,4,444
1532493586730470,53,1,138.55,4,4,3,443
1532494848328600,49,1,66.0,4,4,4,444
1532500897992120,63,2,135.0,4,3,3,433
1532503372354650,11,12,908.9,1,1,1,111
1532503866569160,59,1,79.0,4,4,4,444
1532505415596310,32,5,196.50000000000003,3,1,2,312
1532511498574150,50,8,1225.04,4,1,1,411
1532511917228800,2,4,204.0,1,1,2,112
1532516171471140,45,9,713.0,3,1,1,311
1532520051768260,7,1,34.0,1,4,4,144
1532521453167240,6,6,1468.88,1,1,1,111
1532521652194580,4,23,1671.0,1,1,1,111
1532522266783100,63,4,256.0,4,1,2,412
1532522371022630,29,1,52.0,3,4,4,344
1532522490680910,62,4,306.0,4,1,2,412
1532523293669280,35,1,19.0,3,4,4,344
1532524098479680,2,3,357.0,1,2,1,121
1532525428650490,48,1,111.0,4,4,4,444
1532525438396930,63,1,127.0,4,4,3,443
1532526266041120,5,1,53.0,1,4,4,144
1532526359139710,63,1,82.8,4,4,4,444
1532526422338460,63,8,871.0,4,1,1,411
1532527059153920,63,2,169.0,4,3,3,433
1532527671689820,63,3,202.0,4,2,2,422
1532527980980390,4,4,228.0,1,1,2,112
1532528313021250,62,2,140.0,4,3,3,433
1532528472113810,31,4,295.2,3,1,2,312
1532529295192510,63,9,961.0,4,1,1,411
1532529709648500,50,1,225.0,4,4,2,442
1532529815192100,63,2,178.0,4,3,3,433
1532530728421680,62,2,132.16,4,3,3,433
1532530973705650,63,1,179.0,4,4,3,443
1532532467979760,16,3,257.0,2,2,2,222
1532534118860890,5,3,239.71,1,2,2,122
1532534692820980,46,2,219.0,3,3,2,332
1532534758690210,3,7,256.0,1,1,2,112
1532535076816540,19,2,295.78999999999996,2,3,2,232
1532535306919680,63,1,57.0,4,4,4,444
1532535614603570,61,1,160.55,4,4,3,443
1532536730093490,2,2,138.0,1,3,3,133
1532537051028380,19,1,62.0,2,4,4,244
1532539117175480,63,1,112.0,4,4,4,444
1532540077084810,63,1,155.0,4,4,3,443
1532540078750300,2,3,182.0,1,2,2,122
1532540463835290,23,2,151.76,2,3,3,233
1532543729130940,29,1,173.71,3,4,3,343
1532544057117320,26,6,618.0,3,1,1,311
1532545422943890,47,1,118.0,4,4,4,444
1532546097228350,62,2,138.0,4,3,3,433
1532546325224100,5,2,118.0,1,3,4,134
1532547294114460,25,1,89.14,2,4,4,244
1532550840439130,2,6,654.0,1,1,1,111
1532550903479870,5,12,1519.2000000000003,1,1,1,111
1532551069158360,62,3,361.0,4,2,1,421
1532552312491480,2,17,1283.0,1,1,1,111
1532552545046220,17,43,5724.0199999999995,2,1,1,211
1532552650905590,15,4,516.0,2,1,1,211
1532553245208630,27,3,310.84999999999997,3,2,2,322
1532553909133560,12,7,726.0,1,1,1,111
1532554317934790,63,1,159.0,4,4,3,443
1532555565188260,61,1,90.0,4,4,4,444
1532557093574790,54,3,159.02,4,2,3,423
1532557791923400,63,3,277.0,4,2,2,422
1532559029082250,14,3,472.0,2,2,1,221
1532559851388650,63,1,209.95,4,4,2,442
1532560357627120,52,2,237.0,4,3,2,432
1532560908749530,20,2,108.0,2,3,4,234
1532562059631180,62,1,166.58,4,4,3,443
1532562179566330,49,75,7629.0,4,1,1,411
1532565381391310,49,3,300.2,4,2,2,422
1532565581355980,26,1,159.0,3,4,3,343
1532566779614940,62,3,215.0,4,2,2,422
1532567578593340,62,1,161.74,4,4,3,443
1532570192064300,62,1,153.54,4,4,3,443
1532570632128410,62,1,149.0,4,4,3,443
1532570785163960,62,1,164.0,4,4,3,443
1532570846727150,62,1,165.61,4,4,3,443
1532571544277470,62,2,194.7,4,3,2,432
1532571726607220,62,3,192.73,4,2,2,422
1532571902864950,62,1,161.0,4,4,3,443
1532572709468500,62,1,153.54,4,4,3,443
1532573224816740,1,2,233.84,1,3,2,132
1532574072111160,5,1,56.0,1,4,4,144
1532575209038540,62,5,339.10999999999996,4,1,1,411
1532576573861800,5,2,235.94,1,3,2,132
1532578412265880,62,1,42.02,4,4,4,444
1532578822431260,62,2,88.0,4,3,4,434
1532580698565550,31,3,240.41,3,2,2,322
1532581658867240,62,3,179.0,4,2,3,423
1532581843774390,62,2,271.0,4,3,2,432
1532583713157740,61,2,314.7,4,3,2,432
1532583869998560,62,1,105.0,4,4,4,444
1532589992170210,62,1,134.63,4,4,3,443
1532591624541380,50,2,111.0,4,3,4,434
1532595993513500,54,1,104.0,4,4,4,444
1532598496671800,62,4,351.0,4,1,1,411
1532605277946520,62,1,97.0,4,4,4,444
1532605861222360,21,2,218.0,2,3,2,232
