,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
6586,15330861134099000,4,6,534.0,1,1,1,111
6589,15330862991885600,2,7,518.0,1,1,1,111
6596,15330876936373100,11,61,5406.0,1,1,1,111
6608,15330903440242900,4,5,679.7800000000002,1,1,1,111
6621,15330921730571700,18,8,506.0,2,1,1,211
6632,15330947976774200,22,5,549.0,2,1,1,211
6650,15331000282059600,1,9,870.0,1,1,1,111
6651,15331002317457700,6,6,910.69,1,1,1,111
6657,15331015086715900,19,3,417.0,2,2,1,221
6664,15331049879003400,23,6,324.0,2,1,2,212
6666,15331074622469700,25,4,634.51,2,1,1,211
6669,15331094949778800,23,4,373.18,2,1,1,211
6686,15331257307158000,5,4,518.0,1,1,1,111
6690,15331270922243700,3,11,1016.08,1,1,1,111
6693,15331276184001900,1,3,219.28,1,2,2,122
6694,15331280595107200,3,4,604.0,1,1,1,111
6704,15331313389174800,19,14,1672.4500000000005,2,1,1,211
6707,15331318489885500,18,12,1761.0,2,1,1,211
6758,15331441862252700,25,5,296.0,2,1,2,212
6764,15331461079284100,6,31,4643.0700000000015,1,1,1,111
6773,15331521578986200,4,6,660.0,1,1,1,111
6784,15331573128786000,4,10,965.3,1,1,1,111
6801,15331639556776400,12,7,1001.5399999999997,1,1,1,111
6807,15331663734537800,21,4,475.36,2,1,1,211
6809,15331669083848600,25,3,329.54,2,2,1,221
6811,15331671829331700,19,4,254.0,2,1,2,212
6825,15331743449174000,2,22,2156.0,1,1,1,111
6826,15331746680225700,14,9,698.5699999999998,2,1,1,211
6835,15331787074682100,3,7,286.62,1,1,2,112
6837,15331790695241800,6,4,356.0,1,1,1,111
6839,15331798359312800,3,8,453.68,1,1,1,111
6844,15331818691228400,11,8,1227.87,1,1,1,111
6860,15331913150893400,24,6,439.0,2,1,1,211
6861,15331925098054200,4,3,328.69,1,2,1,121
6864,15331945201581400,13,21,3658.650000000001,2,1,1,211
6868,15331967848618200,15,6,608.44,2,1,1,211
6869,15331976878972900,24,13,1085.0,2,1,1,211
6870,15331994233418500,16,6,308.0,2,1,2,212
6873,15332043945031700,25,4,436.0,2,1,1,211
6875,15332063822498900,3,3,190.0,1,2,2,122
6881,15332096560085900,1,7,633.0,1,1,1,111
6898,15332148791193200,23,8,488.0,2,1,1,211
6899,15332150655941500,1,5,288.94,1,1,2,112
6905,15332158258975600,3,14,818.6900000000003,1,1,1,111
6906,15332158776785100,4,4,230.72,1,1,2,112
6909,15332165313221700,23,5,465.0,2,1,1,211
6913,15332169978369300,3,4,535.0,1,1,1,111
6915,15332174721146300,15,4,526.0,2,1,1,211
6918,15332178918551200,4,167,70722.60999999999,1,1,1,111
6924,15332190146137100,13,11,1288.0,2,1,1,211
6926,15332192016806800,23,3,282.0,2,2,2,222
6928,15332194954336500,12,25,2649.0,1,1,1,111
6929,15332196885208100,3,3,264.11,1,2,2,122
6934,15332206452976900,5,4,323.0,1,1,2,112
6941,15332215559851100,19,6,856.2,2,1,1,211
6945,15332221539026200,4,11,676.3800000000001,1,1,1,111
6961,15332242247996300,4,8,594.0,1,1,1,111
6964,15332245245931100,4,14,1395.0,1,1,1,111
6982,15332258869621400,3,4,506.0,1,1,1,111
6983,15332259071596300,5,12,912.0,1,1,1,111
6998,15332269293778800,5,5,505.0,1,1,1,111
7023,15332300081542700,9,12,987.0,1,1,1,111
7026,15332306591392700,13,10,1159.0,2,1,1,211
7036,15332318395254400,17,3,334.93,2,2,1,221
7037,15332319604161100,4,5,405.0,1,1,1,111
7042,15332324727496900,23,14,862.0,2,1,1,211
7046,15332330709208600,18,7,487.0,2,1,1,211
7053,15332335944348500,3,6,773.02,1,1,1,111
7061,15332344710334500,19,3,257.0,2,2,2,222
7074,15332358180504600,9,6,360.0,1,1,1,111
7117,15332398752616100,12,4,426.0,1,1,1,111
7140,15332420452188800,15,6,435.65,2,1,1,211
7145,15332429010785600,12,8,982.0,1,1,1,111
7148,15332431011775200,21,4,454.78,2,1,1,211
7150,15332434562388800,2,6,487.74000000000007,1,1,1,111
7152,15332438356863400,1,12,1025.0999999999997,1,1,1,111
7161,15332449236739500,5,46,4936.5,1,1,1,111
7189,15332491231287000,23,4,503.0,2,1,1,211
7191,15332493466377300,2,40,4499.0,1,1,1,111
7204,15332509027703800,1,7,443.0,1,1,1,111
7228,15332540975328300,3,3,239.6,1,2,2,122
7233,15332543254396200,13,4,277.0,2,1,2,212
7238,15332545981787300,4,6,318.0,1,1,2,112
7246,15332561796957900,8,4,429.0,1,1,1,111
7249,15332564472992700,23,20,2540.12,2,1,1,211
7259,15332586047049900,4,3,183.0,1,2,2,122
7260,15332586949154700,25,5,328.0,2,1,1,211
7277,15332601478916000,3,9,1207.54,1,1,1,111
7280,15332604558865200,5,3,422.96,1,2,1,121
7286,15332619576847300,4,25,3010.0600000000004,1,1,1,111
7287,15332620387402400,12,5,615.0,1,1,1,111
7288,15332621921653100,3,23,1733.0,1,1,1,111
7304,15332642741364600,11,7,603.0,1,1,1,111
7332,15332690336983900,5,12,1271.0,1,1,1,111
7393,15332861007444300,5,5,326.0,1,1,2,112
7398,15332926612895000,23,3,280.61,2,2,2,222
7401,15332941536646400,1,11,1032.0,1,1,1,111
7402,15332948842284200,19,3,295.88,2,2,2,222
7403,15332967933792800,12,8,572.0,1,1,1,111
7412,15332987407615300,4,4,243.27,1,1,2,112
7421,15333002109193300,13,5,594.1700000000002,2,1,1,211
7424,15333011794453600,21,5,404.0,2,1,1,211
7425,15333014188959800,3,3,351.33,1,2,1,121
7426,15333017653529700,16,4,421.0,2,1,1,211
7432,15333023471329800,13,7,758.1500000000002,2,1,1,211
7443,15333045078665400,2,7,578.0,1,1,1,111
7460,15333059866626400,5,5,340.0,1,1,1,111
7469,15333067428747800,23,4,721.44,2,1,1,211
7470,15333067462657300,25,3,241.0,2,2,2,222
7471,15333067756974700,19,5,481.0,2,1,1,211
7479,15333075420647900,23,7,505.0,2,1,1,211
7495,15333101916323500,3,7,351.0,1,1,1,111
7497,15333103287249500,3,3,186.0,1,2,2,122
7506,15333132193341700,3,11,1294.0,1,1,1,111
7509,15333145200991400,5,6,643.6999999999998,1,1,1,111
7510,15333145501902000,5,5,575.0,1,1,1,111
7519,15333173447701400,13,8,1290.96,2,1,1,211
7531,15333213326028200,21,11,797.0,2,1,1,211
7533,15333214851956600,4,5,456.84,1,1,1,111
7538,15333223453261500,17,4,252.0,2,1,2,212
7541,15333241872395300,5,5,317.0,1,1,2,112
7542,15333243258505000,13,4,586.0,2,1,1,211
7544,15333247708426300,13,6,624.0,2,1,1,211
7556,15333302460666600,4,3,278.59,1,2,2,122
7574,15333325399611100,13,4,392.0,2,1,1,211
7589,15333350940322000,16,5,638.0,2,1,1,211
7598,15333371300104800,19,18,1587.1300000000006,2,1,1,211
7599,15333371786371600,4,6,440.0,1,1,1,111
7600,15333372631895900,23,3,374.0,2,2,1,221
7618,15333402355248400,24,4,315.08,2,1,2,212
7630,15333427108392900,11,11,1569.0,1,1,1,111
7635,15333437324491000,7,3,288.0900000000001,1,2,2,122
7637,15333440023721300,16,7,688.0,2,1,1,211
7648,15333456845702400,13,3,408.84,2,2,1,221
7649,15333457232582000,11,3,417.68,1,2,1,121
7669,15333490625884400,23,4,516.0,2,1,1,211
7673,15333503916111900,1,3,205.0,1,2,2,122
7674,15333505027244800,5,4,265.53,1,1,2,112
7680,15333513326142400,15,4,536.0,2,1,1,211
7681,15333513565085900,15,8,551.0,2,1,1,211
7685,15333523261814100,25,3,338.0,2,2,1,221
7687,15333524801803100,2,8,1076.3200000000004,1,1,1,111
7688,15333525989648300,13,5,661.9,2,1,1,211
7706,15333562440166600,2,10,1585.0,1,1,1,111
7714,15333578664661500,25,5,455.0,2,1,1,211
7732,15333623194706200,24,4,307.0,2,1,2,212
7748,15333698104688000,1,4,597.56,1,1,1,111
7754,15333758117575900,22,4,233.0,2,1,2,212
7757,15333800360797700,17,4,431.0,2,1,1,211
7761,15333811194297200,24,4,446.0,2,1,1,211
7772,15333858338748100,20,5,605.0,2,1,1,211
7776,15333878169532300,25,5,269.0,2,1,2,212
7787,15333896902685800,17,8,766.0,2,1,1,211
7790,15333902813185700,17,4,334.0,2,1,1,211
7791,15333906656033700,10,20,1832.0,1,1,1,111
7811,15333933924348400,3,6,393.0,1,1,1,111
7820,15333939044711500,4,7,533.39,1,1,1,111
7822,15333940816897300,12,10,718.0,1,1,1,111
7828,15333950332979700,2,9,739.0,1,1,1,111
7835,15333956954746500,12,3,242.42,1,2,2,122
7839,15333958979965500,15,8,841.0,2,1,1,211
7843,15333962771473100,14,12,1469.44,2,1,1,211
7844,15333962785088500,4,6,475.29,1,1,1,111
7848,15333966452727300,22,4,318.84,2,1,2,212
7872,15333990719461300,2,11,579.0,1,1,1,111
7897,15334021878418000,3,7,530.66,1,1,1,111
7900,15334026496605600,2,9,595.0,1,1,1,111
7901,15334026700063700,24,4,389.74,2,1,1,211
7903,15334029676027900,12,9,1104.0,1,1,1,111
7910,15334038315069000,16,13,940.0,2,1,1,211
7911,15334040552177000,23,6,524.0,2,1,1,211
7921,15334052651429400,2,3,333.13,1,2,1,121
7927,15334071337656800,24,4,456.92,2,1,1,211
7957,15334123466495200,20,5,625.0,2,1,1,211
7964,15334136190005900,1,11,1047.0,1,1,1,111
7984,15334174471208900,3,5,236.68,1,1,2,112
7987,15334179491845300,1,9,988.0,1,1,1,111
8002,15334195152617600,4,12,844.0,1,1,1,111
8007,15334204838084400,25,4,448.32,2,1,1,211
8011,15334207937892400,17,10,865.3000000000002,2,1,1,211
8013,15334210509114600,9,5,512.0,1,1,1,111
8014,15334216939701200,5,6,650.0,1,1,1,111
8024,15334231110108900,4,5,386.0,1,1,1,111
8028,15334238877393000,5,5,493.31000000000006,1,1,1,111
8033,15334250265259700,17,3,350.07,2,2,1,221
8060,15334296969163700,4,5,447.7,1,1,1,111
8062,15334299503858600,1,15,1678.2500000000002,1,1,1,111
8083,15334341265647600,4,4,326.0,1,1,2,112
8107,15334381141783400,13,3,340.0,2,2,1,221
8128,15334437622941300,22,4,339.22,2,1,1,211
8131,15334441086086700,17,5,900.78,2,1,1,211
8135,15334455116992300,1,18,1745.2799999999993,1,1,1,111
8141,15334467585525700,0,3,317.0,1,2,2,122
8144,15334478609086900,24,6,552.56,2,1,1,211
8154,15334522770514400,15,4,683.64,2,1,1,211
8171,15334663521774800,16,11,447.0,2,1,1,211
8180,15334710346036500,4,4,189.0,1,1,2,112
8181,15334710844214300,2,6,341.22,1,1,1,111
8188,15334726877073600,7,4,483.0,1,1,1,111
8197,15334758497642200,17,10,921.0,2,1,1,211
8206,15334785407477300,13,9,1229.71,2,1,1,211
8213,15334792003492000,20,3,290.87,2,2,2,222
8217,15334795903618700,13,5,624.9,2,1,1,211
8218,15334800428012300,5,6,454.0,1,1,1,111
8229,15334815128348300,3,18,1664.0,1,1,1,111
8231,15334816442923700,4,6,513.96,1,1,1,111
8237,15334833594925800,25,8,512.81,2,1,1,211
8243,15334845034019900,11,4,236.0,1,1,2,112
8269,15334891852431700,23,5,623.4399999999998,2,1,1,211
8273,15334897936876900,4,4,304.0,1,1,2,112
8285,15334910473671100,17,3,192.0,2,2,2,222
8286,15334914578604400,5,4,220.0,1,1,2,112
8290,15334922764217200,24,4,277.0,2,1,2,212
8294,15334929575775800,18,11,771.0,2,1,1,211
8298,15334930662975400,3,27,3744.73,1,1,1,111
8304,15334938498558800,2,9,555.0,1,1,1,111
8310,15334949634166400,19,5,628.47,2,1,1,211
8317,15334967618623200,6,4,350.0,1,1,1,111
8319,15334970625682500,22,3,277.0,2,2,2,222
8333,15334987069753100,18,3,377.0,2,2,1,221
8334,15334993438256700,23,4,447.66,2,1,1,211
8357,15335046088542300,22,3,307.32,2,2,2,222
8367,15335072296366500,1,8,645.44,1,1,1,111
8429,15335171406497200,1,5,420.0,1,1,1,111
8445,15335190261176100,1,7,559.36,1,1,1,111
8459,15335212249052700,2,8,624.0,1,1,1,111
8494,15335266331408400,18,3,337.0,2,2,1,221
8499,15335273599802500,25,3,410.0,2,2,1,221
8502,15335274862767500,13,6,553.0,2,1,1,211
8531,15335327043632500,13,4,507.7000000000001,2,1,1,211
8534,15335347032717200,1,3,230.47,1,2,2,122
8550,15335422590113700,12,9,798.0,1,1,1,111
8553,15335447226676000,4,5,315.53,1,1,2,112
8555,15335539666706200,24,3,254.0,2,2,2,222
8562,15335573831559000,4,4,377.36,1,1,1,111
8567,15335583717254900,5,12,1210.25,1,1,1,111
8573,15335608973673900,20,3,314.0,2,2,2,222
8577,15335616444691200,9,5,454.0,1,1,1,111
8593,15335651711372000,23,6,588.32,2,1,1,211
8594,15335652472468200,1,4,341.92,1,1,1,111
8616,15335679551938400,2,4,403.38,1,1,1,111
8619,15335693002523600,9,5,566.7,1,1,1,111
8623,15335699620236800,1,5,402.0,1,1,1,111
8631,15335713866245400,8,3,326.74,1,2,2,122
8640,15335730982992900,20,3,436.22,2,2,1,221
8653,15335748722284300,22,3,339.0,2,2,1,221
8655,15335752408057800,5,9,644.0,1,1,1,111
8681,15335792565994700,1,23,3013.4799999999987,1,1,1,111
8686,15335794774484600,5,12,1241.6799999999996,1,1,1,111
8688,15335797197253700,6,3,443.42,1,2,1,121
8697,15335814565666000,2,3,235.0,1,2,2,122
8706,15335824118521000,2,3,193.37,1,2,2,122
8716,15335839784666200,8,13,1243.0,1,1,1,111
8725,15335860399582700,5,6,701.7,1,1,1,111
8733,15335877282833900,1,4,242.32,1,1,2,112
8740,15335881675061100,5,3,227.23,1,2,2,122
8747,15335896325262200,12,6,547.0,1,1,1,111
8750,15335899217528100,9,3,341.0,1,2,1,121
8783,15335951421003900,4,11,1006.2500000000003,1,1,1,111
8787,15335958520154700,5,6,923.0,1,1,1,111
8794,15335975990624600,6,4,489.84,1,1,1,111
8825,15336006430316300,22,3,235.0,2,2,2,222
8831,15336009684033500,21,8,679.0,2,1,1,211
8848,15336036144147300,13,6,815.1,2,1,1,211
8856,15336044370763900,22,9,745.0,2,1,1,211
8863,15336050889603800,7,4,366.0,1,1,1,111
8865,15336054095761200,15,4,320.0,2,1,2,212
8891,15336087155059100,13,5,745.0,2,1,1,211
8908,15336107644506000,14,7,938.0,2,1,1,211
8910,15336114111253800,15,4,423.0,2,1,1,211
8925,15336127153839200,9,9,1102.49,1,1,1,111
8928,15336132655857400,4,17,1211.0,1,1,1,111
8937,15336146557666200,19,3,257.31,2,2,2,222
8943,15336150504987300,25,3,270.83,2,2,2,222
8953,15336165903649100,6,7,662.0,1,1,1,111
8963,15336184176572700,5,15,1087.0,1,1,1,111
8983,15336221782224800,9,5,686.3,1,1,1,111
8996,15336240428777700,18,6,545.09,2,1,1,211
8998,15336251908388100,0,4,373.24,1,1,1,111
9002,15336265770467100,18,3,226.0,2,2,2,222
9004,15336285432651100,4,6,566.17,1,1,1,111
9010,15336340358211000,24,10,579.0,2,1,1,211
9031,15336445959522200,6,5,426.0,1,1,1,111
9065,15336476129581800,5,5,296.0,1,1,2,112
9067,15336476231495100,12,25,1067.0,1,1,1,111
9068,15336476348902100,2,6,424.0,1,1,1,111
9069,15336476482215500,23,4,230.0,2,1,2,212
9090,15336493214875900,24,4,441.64,2,1,1,211
9095,15336496671385700,16,7,606.0,2,1,1,211
9101,15336500781944000,2,14,946.8,1,1,1,111
9111,15336510531334600,4,4,344.0,1,1,1,111
9113,15336511376978500,25,3,190.59,2,2,2,222
9114,15336511763295700,13,4,415.98,2,1,1,211
9120,15336514165475300,18,11,687.0,2,1,1,211
9123,15336518960601200,2,10,763.8499999999998,1,1,1,111
9124,15336519964809900,5,3,212.33,1,2,2,122
9134,15336531598618400,16,4,688.78,2,1,1,211
9135,15336531788034000,23,6,451.7600000000001,2,1,1,211
9141,15336538308205300,1,8,670.35,1,1,1,111
9145,15336541968456900,25,3,223.25,2,2,2,222
9148,15336544750655200,13,4,375.62000000000006,2,1,1,211
9166,15336567171139300,25,9,984.58,2,1,1,211
9168,15336570089103700,2,7,410.32,1,1,1,111
9181,15336579243796500,3,9,493.01,1,1,1,111
9182,15336580719335800,2,22,2555.510000000001,1,1,1,111
9187,15336583483972800,2,4,325.0,1,1,2,112
9208,15336601662706200,2,6,404.0,1,1,1,111
9218,15336607487525600,20,4,462.8,2,1,1,211
9228,15336615074482300,25,7,369.0,2,1,1,211
9229,15336615622648600,24,5,313.0,2,1,2,212
9240,15336623649073300,1,7,529.55,1,1,1,111
9248,15336627318097200,13,6,724.3900000000001,2,1,1,211
9281,15336652460777600,16,8,922.13,2,1,1,211
9320,15336688400053500,25,3,304.0,2,2,2,222
9321,15336689204699900,13,4,432.24,2,1,1,211
9351,15336725265712000,19,3,216.13,2,2,2,222
9372,15336744460205600,4,4,198.0,1,1,2,112
9374,15336745651345800,18,6,749.2600000000001,2,1,1,211
9384,15336754134312400,22,4,399.0,2,1,1,211
9389,15336760190864000,23,4,244.0,2,1,2,212
9392,15336761710573600,25,5,271.0,2,1,2,212
9394,15336766266683500,25,5,424.0,2,1,1,211
9396,15336768945561200,22,5,418.99,2,1,1,211
9397,15336769830711000,3,14,1286.9199999999996,1,1,1,111
9404,15336776634552000,24,4,590.64,2,1,1,211
9424,15336789411881700,24,4,204.0,2,1,2,212
9426,15336790913119600,25,8,839.3299999999998,2,1,1,211
9435,15336805934848000,11,5,577.0,1,1,1,111
9446,15336821150842400,12,7,894.1999999999997,1,1,1,111
9466,15336848534769100,3,26,2210.72,1,1,1,111
9467,15336848719511600,25,7,405.2,2,1,1,211
9469,15336853098241400,23,4,464.48,2,1,1,211
9486,15336875241975100,23,12,1132.02,2,1,1,211
9487,15336876916577300,3,9,483.74,1,1,1,111
9490,15336881381871900,23,3,370.73,2,2,1,221
9504,15336898406153300,24,3,297.0,2,2,2,222
9508,15336902727629600,22,4,490.1,2,1,1,211
9511,15336905327714000,4,7,439.0,1,1,1,111
9537,15336933472232900,4,7,587.0,1,1,1,111
9545,15336940318251200,16,9,811.0,2,1,1,211
9548,15336944531177600,20,5,639.73,2,1,1,211
9565,15336964026459100,22,3,327.0,2,2,2,222
9571,15336970113523900,0,3,278.45,1,2,2,122
9574,15336971789988700,2,5,279.0,1,1,2,112
9595,15336996656242900,1,8,510.0,1,1,1,111
9605,15337006912922000,2,22,1463.0,1,1,1,111
9608,15337011410679200,24,23,1265.0,2,1,1,211
9612,15337014553897300,2,6,685.6200000000001,1,1,1,111
9614,15337016805698900,21,4,715.36,2,1,1,211
9615,15337017520224100,18,4,304.2999999999999,2,1,2,212
9622,15337031051818800,23,4,297.0,2,1,2,212
9625,15337031686685000,4,6,448.0,1,1,1,111
9630,15337033927253500,2,4,392.0,1,1,1,111
9635,15337040381933000,12,19,1796.8300000000004,1,1,1,111
9637,15337048209086300,24,12,1163.0500000000004,2,1,1,211
9646,15337053998588700,6,6,642.22,1,1,1,111
9647,15337057061996100,3,3,236.14,1,2,2,122
9683,15337191420722700,4,11,685.9799999999998,1,1,1,111
9690,15337224502061700,5,8,470.94,1,1,1,111
9694,15337260059041200,25,4,400.82,2,1,1,211
9695,15337267908003900,19,9,1480.21,2,1,1,211
9718,15337322917926100,19,9,747.0,2,1,1,211
9720,15337324347738800,1,4,485.52,1,1,1,111
9732,15337333159855700,5,14,1639.0,1,1,1,111
9734,15337336268987600,4,4,395.0,1,1,1,111
9745,15337346431633200,13,5,525.0,2,1,1,211
9748,15337348929843400,4,8,529.0,1,1,1,111
9750,15337350519484800,2,13,462.34,1,1,1,111
9764,15337365201216000,23,7,877.0,2,1,1,211
9769,15337373324998200,5,9,1382.4,1,1,1,111
9790,15337399712934600,13,4,376.0,2,1,1,211
9792,15337402132351200,22,13,1070.0,2,1,1,211
9797,15337410590773100,8,6,915.63,1,1,1,111
9800,15337413213328400,23,9,528.43,2,1,1,211
9820,15337443436903900,5,4,268.19,1,1,2,112
9823,15337445490583000,12,7,709.0,1,1,1,111
9835,15337462763989300,12,12,2232.850000000001,1,1,1,111
9836,15337463212625400,24,5,483.0,2,1,1,211
9856,15337495321744600,24,10,921.24,2,1,1,211
9864,15337500556408000,20,3,421.0,2,2,1,221
9869,15337510166667700,3,3,235.0,1,2,2,122
9892,15337536105753000,3,3,269.0,1,2,2,122
9931,15337585457543800,5,7,454.0,1,1,1,111
9950,15337610483974700,20,4,781.14,2,1,1,211
9954,15337617235922300,6,6,602.0,1,1,1,111
9962,15337624915303700,5,6,540.94,1,1,1,111
9971,15337636395867700,6,3,429.74,1,2,1,121
9976,15337638805321500,5,6,447.86,1,1,1,111
9977,15337638885033300,4,13,851.0,1,1,1,111
9991,15337661832425000,4,13,830.0,1,1,1,111
9998,15337678922508600,25,5,414.52,2,1,1,211
10004,15337680366488700,25,4,222.14,2,1,2,212
10005,15337680423241100,24,4,526.0,2,1,1,211
10017,15337705931261000,7,5,603.03,1,1,1,111
10025,15337718047964000,15,3,327.0,2,2,2,222
10032,15337728258095400,19,5,247.0,2,1,2,212
10038,15337737236122000,8,14,2263.58,1,1,1,111
10066,15337772054739100,7,8,691.0,1,1,1,111
10071,15337779126334600,1,8,936.0,1,1,1,111
10083,15337788657591400,6,6,644.9699999999998,1,1,1,111
10088,15337792790133000,25,4,343.0,2,1,1,211
10105,15337818580972300,4,9,866.0,1,1,1,111
10106,15337818669809500,2,5,264.12,1,1,2,112
10108,15337820840888900,19,22,2084.0,2,1,1,211
10115,15337833015516900,23,4,448.0,2,1,1,211
10119,15337836179825200,14,14,785.3700000000001,2,1,1,211
10120,15337836789089900,4,4,215.0,1,1,2,112
10123,15337839993441300,18,6,642.6800000000002,2,1,1,211
10129,15337848715949100,1,11,1299.0,1,1,1,111
10141,15337868609243100,13,5,410.91,2,1,1,211
10145,15337877760148400,25,3,384.15,2,2,1,221
10152,15337885962971800,4,13,1099.0,1,1,1,111
10159,15337900705452900,18,6,865.0,2,1,1,211
10166,15337909288704600,12,3,190.0,1,2,2,122
10182,15337959631294000,22,5,1047.0,2,1,1,211
10186,15337973689652400,25,7,740.0,2,1,1,211
10188,15337986630111600,18,3,277.0,2,2,2,222
10192,15338001481484300,21,3,405.14,2,2,1,221
10196,15338018826665300,16,5,403.0,2,1,1,211
10199,15338052837847300,11,6,954.0,1,1,1,111
10201,15338062887444000,3,5,304.0,1,1,2,112
10202,15338064821789300,6,3,256.0,1,2,2,122
10205,15338099627715900,13,7,642.8700000000001,2,1,1,211
10220,15338167640533200,5,11,956.0,1,1,1,111
10224,15338174315179400,1,12,438.0,1,1,1,111
10228,15338176751564100,23,3,285.0,2,2,2,222
10232,15338181404006500,14,16,2052.0,2,1,1,211
10238,15338190135967900,19,3,293.0,2,2,2,222
10241,15338194561771800,4,6,470.0,1,1,1,111
10242,15338200399876500,4,3,429.18,1,2,1,121
10243,15338200763064300,5,15,963.0000000000003,1,1,1,111
10260,15338223008187700,21,4,312.0,2,1,2,212
10273,15338246960433800,22,6,485.28,2,1,1,211
10275,15338249238312600,7,9,766.67,1,1,1,111
10279,15338254668021000,22,4,278.0,2,1,2,212
10288,15338266780583100,5,5,419.0,1,1,1,111
10297,15338281088845600,14,14,1427.04,2,1,1,211
10302,15338289143211600,13,8,899.28,2,1,1,211
10304,15338289946215100,14,7,801.6000000000001,2,1,1,211
10306,15338292278278700,23,4,323.98,2,1,2,212
10307,15338293226187800,20,3,352.4000000000001,2,2,1,221
10328,15338327847152800,3,5,651.8600000000001,1,1,1,111
10329,15338328855806100,12,4,435.0,1,1,1,111
10330,15338329021112600,12,3,638.62,1,2,1,121
10336,15338331797386800,20,10,932.25,2,1,1,211
10337,15338332058448400,19,3,382.0100000000001,2,2,1,221
10347,15338341205145300,25,4,334.52,2,1,1,211
10353,15338345605707400,24,3,319.0,2,2,2,222
10355,15338349227235500,25,4,367.0,2,1,1,211
10368,15338364948354600,8,4,546.0,1,1,1,111
10375,15338374385989100,15,3,432.0,2,2,1,221
10390,15338396625857400,23,28,3272.08,2,1,1,211
10400,15338421151985400,4,6,881.4300000000002,1,1,1,111
10401,15338421343233800,5,5,296.0,1,1,2,112
10406,15338429491777800,3,12,1020.0,1,1,1,111
10407,15338429754784200,25,5,332.9,2,1,1,211
10441,15338496074845100,7,7,983.4199999999997,1,1,1,111
10447,15338520968186400,4,17,2233.0,1,1,1,111
10475,15338571052133200,5,3,319.0,1,2,2,122
10487,15338588822612700,14,4,566.0,2,1,1,211
10502,15338621544708700,4,5,302.13,1,1,2,112
10503,15338622172715000,17,4,410.0,2,1,1,211
10520,15338653368649000,3,10,1044.0,1,1,1,111
10528,15338664886505700,24,3,378.02,2,2,1,221
10534,15338671530763400,18,6,350.0,2,1,1,211
10539,15338685107226700,4,4,352.16,1,1,1,111
10544,15338698257675200,22,3,261.0,2,2,2,222
10556,15338723947884400,25,3,286.21,2,2,2,222
10559,15338733102571400,5,5,471.7000000000001,1,1,1,111
10563,15338748138613600,3,6,489.58,1,1,1,111
10569,15338777469337000,6,7,1003.0,1,1,1,111
10580,15339038339829400,3,6,709.8399999999998,1,1,1,111
10586,15339050051733300,22,4,229.0,2,1,2,212
10588,15339056383289400,13,5,316.0,2,1,2,212
10592,15339078752509200,5,3,404.29,1,2,1,121
10593,15339079706743800,13,11,1136.0,2,1,1,211
10596,15339094385501400,25,4,230.0,2,1,2,212
10598,15339098991737700,12,3,309.0,1,2,2,122
10600,15339111646392800,23,3,380.0,2,2,1,221
10601,15339116634519800,22,7,402.0,2,1,1,211
10604,15339120900952600,2,8,680.0,1,1,1,111
10605,15339121619164100,23,4,442.32,2,1,1,211
10606,15339122676761000,12,3,286.6,1,2,2,122
10609,15339128175561800,8,4,652.24,1,1,1,111
10610,15339149222474200,13,6,530.0,2,1,1,211
10613,15339171416348100,12,7,667.9300000000002,1,1,1,111
10616,15339184088027300,17,5,262.75,2,1,2,212
10624,15339244337916100,2,5,284.0,1,1,2,112
10628,15339266120064900,3,4,374.0,1,1,1,111
10630,15339273581319500,25,3,257.91,2,2,2,222
10632,15339283255571400,13,11,1131.53,2,1,1,211
10634,15339284090612100,13,5,498.55,2,1,1,211
10641,15339319955999100,25,4,203.0,2,1,2,212
10642,15339320186615400,4,4,456.0,1,1,1,111
10643,15339320396376700,16,4,269.0,2,1,2,212
10649,15339353718101800,3,3,232.0,1,2,2,122
10660,15339418573222200,13,3,337.0,2,2,1,221
10667,15339445632494300,22,5,233.0,2,1,2,212
10677,15339462856047800,3,12,1426.4400000000005,1,1,1,111
10683,15339479635229700,2,5,261.3,1,1,2,112
10684,15339480047301300,23,8,687.51,2,1,1,211
10723,15339543843896000,12,5,375.0,1,1,1,111
10725,15339548162054700,13,9,1746.54,2,1,1,211
10728,15339560496409800,8,3,472.25,1,2,1,121
10740,15339570656213100,4,3,262.0,1,2,2,122
10759,15339621637677900,3,6,635.6,1,1,1,111
10771,15339655983902600,5,5,462.0,1,1,1,111
10779,15339689831515400,25,4,596.0,2,1,1,211
10783,15339704920956300,15,3,373.0,2,2,1,221
10786,15339723909312600,2,7,743.82,1,1,1,111
10794,15339780234562100,9,3,222.0,1,2,2,122
10795,15339800236554600,3,3,294.0,1,2,2,122
10799,15339873206074400,0,9,948.0,1,1,1,111
10800,15339874072553500,3,4,313.86,1,1,2,112
10825,15339974357337800,13,3,296.0,2,2,2,222
10828,15339975999269500,4,11,744.55,1,1,1,111
10836,15339985619457800,3,13,897.8599999999999,1,1,1,111
10838,15339987262675200,3,3,190.0,1,2,2,122
10851,15339995849189400,19,4,350.0,2,1,1,211
10858,15340000290932100,2,4,420.0,1,1,1,111
10859,15340000773219600,1,5,339.0,1,1,1,111
10871,15340005133499600,3,17,1583.0,1,1,1,111
10880,15340017363408500,12,3,299.0,1,2,2,122
10886,15340019669694400,3,5,498.79,1,1,1,111
10899,15340033439034100,5,5,412.0,1,1,1,111
